learning start at Fri Jun 22 16:09:52 2018
('episode:', 1130000, '/ miss:', 368, '/ agari:', 2567, '/ draw:', 7065, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0300968267478899e-06), ('average_entropy', 0.05170180331797664)])
('episode:', 1140000, '/ miss:', 367, '/ agari:', 2375, '/ draw:', 7258, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.7289261434379754e-05), ('average_entropy', 0.05271343612592725)])
('episode:', 1150000, '/ miss:', 295, '/ agari:', 2469, '/ draw:', 7236, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.580997404053456e-05), ('average_entropy', 0.054811844346298245)])
('episode:', 1160000, '/ miss:', 247, '/ agari:', 2514, '/ draw:', 7239, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.359950865993231e-05), ('average_entropy', 0.051519989932242764)])
('episode:', 1170000, '/ miss:', 271, '/ agari:', 2516, '/ draw:', 7213, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0001540189213184888), ('average_entropy', 0.06348044538639043)])
('episode:', 1180000, '/ miss:', 260, '/ agari:', 2710, '/ draw:', 7030, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.00010222527770195845), ('average_entropy', 0.0506292451004858)])
('episode:', 1190000, '/ miss:', 273, '/ agari:', 2646, '/ draw:', 7081, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0001282652594182621), ('average_entropy', 0.04636304219998017)])
('episode:', 1200000, '/ miss:', 315, '/ agari:', 2870, '/ draw:', 6815, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.8782410087259585e-06), ('average_entropy', 0.04997395712550218)])
('episode:', 1210000, '/ miss:', 235, '/ agari:', 2935, '/ draw:', 6830, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.873619480347362e-05), ('average_entropy', 0.04267012239554245)])
('episode:', 1220000, '/ miss:', 223, '/ agari:', 2834, '/ draw:', 6943, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.00023145704804746855), ('average_entropy', 0.045865064907147375)])
('episode:', 1230000, '/ miss:', 227, '/ agari:', 2971, '/ draw:', 6802, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0004317661274236732), ('average_entropy', 0.04592405988231516)])
('episode:', 1240000, '/ miss:', 301, '/ agari:', 2804, '/ draw:', 6895, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0006790714418916088), ('average_entropy', 0.059550279907554314)])
('episode:', 1250000, '/ miss:', 217, '/ agari:', 3080, '/ draw:', 6703, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0005096511111988721), ('average_entropy', 0.05578130763801919)])
('episode:', 1260000, '/ miss:', 220, '/ agari:', 3216, '/ draw:', 6564, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.0029846980730630964), ('average_entropy', 0.04787288731935987)])
('episode:', 1270000, '/ miss:', 262, '/ agari:', 3290, '/ draw:', 6448, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.01253452116437126), ('average_entropy', 0.05300301255489909)])
('episode:', 1280000, '/ miss:', 397, '/ agari:', 2922, '/ draw:', 6681, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.03471709008384488), ('average_entropy', 0.05132291443661483)])
('episode:', 1290000, '/ miss:', 677, '/ agari:', 2840, '/ draw:', 6483, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.12256801276624751), ('average_entropy', 0.05362471314922515)])
('episode:', 1300000, '/ miss:', 408, '/ agari:', 3072, '/ draw:', 6520, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.17926925322199413), ('average_entropy', 0.05502569930197125)])
('episode:', 1310000, '/ miss:', 318, '/ agari:', 3267, '/ draw:', 6415, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.19042240590738962), ('average_entropy', 0.04924913596444351)])
('episode:', 1320000, '/ miss:', 432, '/ agari:', 2913, '/ draw:', 6655, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.17296260381414222), ('average_entropy', 0.05837605604348463)])
('episode:', 1330000, '/ miss:', 391, '/ agari:', 3078, '/ draw:', 6531, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.1953790885157894), ('average_entropy', 0.047698960464510554)])
('episode:', 1340000, '/ miss:', 373, '/ agari:', 3144, '/ draw:', 6483, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.19343279018183168), ('average_entropy', 0.05119272027082573)])
('episode:', 1350000, '/ miss:', 289, '/ agari:', 3267, '/ draw:', 6444, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.21048015950479323), ('average_entropy', 0.041731695054300404)])
('episode:', 1360000, '/ miss:', 259, '/ agari:', 3360, '/ draw:', 6381, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.20084186004498544), ('average_entropy', 0.048556761180867464)])
('episode:', 1370000, '/ miss:', 320, '/ agari:', 3284, '/ draw:', 6396, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.19685533545167644), ('average_entropy', 0.05171408481671659)])
('episode:', 1380000, '/ miss:', 309, '/ agari:', 3226, '/ draw:', 6465, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.17447982720205713), ('average_entropy', 0.0525444240719665)])
('episode:', 1390000, '/ miss:', 249, '/ agari:', 3269, '/ draw:', 6482, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.22618940680799177), ('average_entropy', 0.0487958932347625)])
('episode:', 1400000, '/ miss:', 394, '/ agari:', 3176, '/ draw:', 6430, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.1584586219664386), ('average_entropy', 0.049631419160569734)])
('episode:', 1410000, '/ miss:', 274, '/ agari:', 3347, '/ draw:', 6379, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.20219730596800697), ('average_entropy', 0.04926722885652926)])
