episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 2070000,5, 195, 3832, 5973, 0, 0.23595524251042918, 0.02608247381970549
 2080000,5, 270, 3520, 6210, 0, 0.21293257310606054, 0.024846030445774676
 2090000,5, 246, 3414, 6340, 0, 0.20296373807663168, 0.02785904497173237
 2100000,5, 225, 3621, 6154, 0, 0.2670809133057814, 0.027211631234090372
 2110000,5, 243, 3639, 6118, 0, 0.2326482259292542, 0.024502583588899594
 2120000,5, 196, 3710, 6094, 0, 0.22550238546633802, 0.029808793529711174
 2130000,5, 263, 3549, 6188, 0, 0.2215320279498651, 0.024625764364095002
 2140000,5, 173, 3711, 6116, 0, 0.23640420540151505, 0.028156079324142033
 2150000,5, 232, 3705, 6063, 0, 0.24161797856797507, 0.02850653658044732
 2160000,5, 245, 3584, 6171, 0, 0.22952309146715283, 0.028329217860137246
 2170000,5, 174, 3541, 6285, 0, 0.21384232846746004, 0.023796466125543654
 2180000,5, 158, 3550, 6292, 0, 0.22030959021592703, 0.02585460991227142
 2190000,5, 176, 3689, 6135, 0, 0.23434944878422884, 0.026176290297811964
 2200000,5, 255, 3576, 6169, 0, 0.21116200817073058, 0.030149342249052476
 2210000,5, 344, 3440, 6216, 0, 0.2680678586950189, 0.026626194840106615
 2220000,5, 207, 3490, 6303, 0, 0.23861330432767308, 0.02801089576413632
 2230000,5, 188, 3476, 6336, 0, 0.1907399064955272, 0.025216256067326425
 2240000,5, 217, 3371, 6412, 0, 0.1956645145962405, 0.02913014216670407
 2250000,5, 175, 3425, 6400, 0, 0.18191963301139427, 0.024831884451324705
 2260000,5, 319, 3607, 6074, 0, 0.2584525510330576, 0.020923266016416506
 2270000,5, 164, 3681, 6155, 0, 0.2703021817361256, 0.02547258458620623
 2280000,5, 206, 3713, 6081, 0, 0.23436867601868414, 0.02691462088902378
 2290000,5, 192, 3712, 6096, 0, 0.22497113319700734, 0.02464557518847438
 2300000,5, 192, 3586, 6222, 0, 0.24208638399185495, 0.029200720489270433
 2310000,5, 194, 3678, 6128, 0, 0.2716869409718246, 0.028552717252285684
 2320000,5, 174, 3670, 6156, 0, 0.3102603016835774, 0.03246417044171906
 2330000,5, 167, 3584, 6249, 0, 0.21923104512680242, 0.02579785128133604
 2340000,5, 225, 3719, 6056, 0, 0.22386566826872703, 0.02648558699618007
 2350000,5, 329, 3630, 6041, 0, 0.2374308873885413, 0.028674271139768254
 2360000,5, 323, 3778, 5899, 0, 0.26179772468258145, 0.02884161774480974
 2370000,5, 219, 3862, 5919, 0, 0.24518648081519331, 0.02961743942368978
 2380000,5, 354, 3654, 5992, 0, 0.24041868520652906, 0.030002272188320248
 2390000,5, 285, 3691, 6024, 0, 0.2025941663135505, 0.030996708461880722
 2400000,5, 248, 3955, 5797, 0, 0.2605854243239622, 0.03389475624948853
 2410000,5, 409, 3838, 5753, 0, 0.20763397779341372, 0.0355244563554257
 2420000,5, 360, 3485, 6155, 0, 0.2575670853714601, 0.028381298009796403
 2430000,5, 263, 3605, 6132, 0, 0.24810870461778434, 0.03220909056327541
 2440000,5, 192, 3873, 5935, 0, 0.3381228343471373, 0.02552936525498847
 2450000,5, 230, 3658, 6112, 0, 0.2047193642934372, 0.02855894802985099
 2460000,5, 274, 3942, 5784, 0, 0.2477572292086404, 0.031205725702796106
 2470000,5, 203, 3850, 5947, 0, 0.24629609695196636, 0.024863182389099903
 2480000,5, 244, 3968, 5788, 0, 0.257724304190682, 0.03661169572789659
 2490000,5, 314, 3604, 6082, 0, 0.239381692688719, 0.03120868742322006
 2500000,5, 204, 3724, 6072, 0, 0.22421642524159577, 0.026065617388689743
 2510000,5, 178, 3923, 5899, 0, 0.2821158711835804, 0.02912362727585907
 2520000,5, 200, 4026, 5774, 0, 0.23528685315090883, 0.029544167360310496
 2530000,5, 196, 4067, 5737, 0, 0.301729359012408, 0.027315659129945317
 2540000,5, 187, 4174, 5639, 0, 0.3193536584099504, 0.03189322480370384
 2550000,5, 182, 4011, 5807, 0, 0.31714015466695666, 0.030734259643856912
 2560000,5, 243, 3859, 5898, 0, 0.26621832320512673, 0.03323467666049267
 2570000,5, 179, 4004, 5817, 0, 0.29945073522322213, 0.02955624206451023
 2580000,5, 194, 3971, 5835, 0, 0.26244658119121234, 0.0242678474159769
 2590000,5, 233, 4140, 5627, 0, 0.2636230009314392, 0.029443219483720424
 2600000,5, 193, 4028, 5779, 0, 0.28634418511520277, 0.030908750330215215
 2610000,5, 290, 3900, 5810, 0, 0.2475284482108555, 0.029588729345397843
 2620000,5, 147, 3928, 5925, 0, 0.2875454965774245, 0.03232784231386375
 2630000,5, 197, 3947, 5856, 0, 0.2800257617214944, 0.03095188430439697
 2640000,5, 195, 4089, 5716, 0, 0.2420503391158531, 0.02454291654674717
 2650000,5, 279, 3906, 5815, 0, 0.2670215896423711, 0.024691226353140052
 2660000,5, 198, 4007, 5795, 0, 0.25623364631995416, 0.026500068532442148
 2670000,5, 198, 3938, 5864, 0, 0.31266279009042913, 0.027721910999328917
 2680000,5, 138, 4007, 5855, 0, 0.31363905234910994, 0.024447911636510895
 2690000,5, 182, 4200, 5618, 0, 0.28066245095438447, 0.027895957552826287
 2700000,5, 160, 4128, 5712, 0, 0.2928442261258681, 0.02809551250099915
 2710000,5, 247, 4010, 5743, 0, 0.3084550881183834, 0.029851203842353843
 2720000,5, 287, 4160, 5553, 0, 0.295496491560367, 0.029084484509788726
 2730000,5, 247, 3943, 5810, 0, 0.24955049358864193, 0.026218375170791237
 2740000,5, 145, 3995, 5860, 0, 0.28164157415008806, 0.02885367815100302
 2750000,5, 154, 4073, 5773, 0, 0.2890340674231052, 0.029728861619385403
 2760000,5, 190, 3942, 5868, 0, 0.2967382302745268, 0.023649499553471322
 2770000,5, 235, 4182, 5583, 0, 0.2827948350410273, 0.029143989958213046
 2780000,5, 241, 3779, 5980, 0, 0.2654419515488671, 0.025805542220216447
 2790000,5, 232, 3989, 5779, 0, 0.27447580322163534, 0.030423672590864873
 2800000,5, 200, 4082, 5718, 0, 0.25675493168814373, 0.024961385564244026
 2810000,5, 170, 4148, 5682, 0, 0.253745420817458, 0.026644435239414437
 2820000,5, 208, 4024, 5768, 0, 0.2918071186680108, 0.024297730024248593
 2830000,5, 213, 4248, 5539, 0, 0.2787622995258413, 0.02352658245271224
 2840000,5, 180, 3954, 5866, 0, 0.22747509379571626, 0.023317961178985738
 2850000,5, 198, 3964, 5838, 0, 0.2729282197226902, 0.02374478696554313
 2860000,5, 247, 3709, 6044, 0, 0.2299281314468039, 0.03007911867329533
 2870000,5, 148, 4268, 5584, 0, 0.2805515523224745, 0.02354146676555042
 2880000,5, 227, 4053, 5720, 0, 0.23292882372325716, 0.026145494031856117
 2890000,5, 195, 4182, 5623, 0, 0.28797895779094385, 0.027256884094834892
 2900000,5, 213, 4122, 5665, 0, 0.2693375948672779, 0.024049992072624995
 2910000,5, 178, 4377, 5445, 0, 0.28630738037016396, 0.022192603224275836
 2920000,5, 213, 4337, 5450, 0, 0.289196350556981, 0.026334145212936075
 2930000,5, 246, 4296, 5458, 0, 0.26752792448486845, 0.024140124365101007
 2940000,5, 160, 4333, 5507, 0, 0.28905137782678725, 0.02500888797286549
 2950000,5, 188, 4119, 5693, 0, 0.3044137528227123, 0.024312489338243343
 2960000,5, 248, 3881, 5871, 0, 0.30107831279147984, 0.027907083055615307
 2970000,5, 191, 4172, 5637, 0, 0.3075441493611215, 0.024168879114333002
 2980000,5, 215, 4154, 5631, 0, 0.35665089630742103, 0.023518061431863833
 2990000,5, 217, 4078, 5705, 0, 0.33411719111293503, 0.029127396809303607
 3000000,5, 171, 4038, 5791, 0, 0.2909942642002787, 0.025732276330289662
